TIME_ID;MONTH_ID;QTR_ID;YEAR_ID
8/9/2004;8;3;2004
8/17/2004;8;3;2004
8/19/2004;8;3;2004
8/20/2004;8;3;2004
8/21/2004;8;3;2004
8/27/2004;8;3;2004
8/28/2004;8;3;2004
8/30/2004;8;3;2004
9/1/2004;9;3;2004
9/3/2004;9;3;2004
9/7/2004;9;3;2004
9/8/2004;9;3;2004
9/9/2004;9;3;2004
9/10/2004;9;3;2004
9/15/2004;9;3;2004
9/16/2004;9;3;2004
9/27/2004;9;3;2004
9/30/2004;9;3;2004
10/6/2004;10;4;2004
10/11/2004;10;4;2004
10/13/2004;10;4;2004
10/14/2004;10;4;2004
10/15/2004;10;4;2004
10/16/2004;10;4;2004
10/21/2004;10;4;2004
10/22/2004;10;4;2004
10/29/2004;10;4;2004
11/1/2004;11;4;2004
11/2/2004;11;4;2004
11/3/2004;11;4;2004
11/4/2004;11;4;2004
11/5/2004;11;4;2004
11/9/2004;11;4;2004
11/10/2004;11;4;2004
11/12/2004;11;4;2004
11/15/2004;11;4;2004
11/16/2004;11;4;2004
11/17/2004;11;4;2004
11/18/2004;11;4;2004
11/19/2004;11;4;2004
11/20/2004;11;4;2004
11/21/2004;11;4;2004
11/22/2004;11;4;2004
11/23/2004;11;4;2004
11/24/2004;11;4;2004
11/25/2004;11;4;2004
11/29/2004;11;4;2004
12/1/2004;12;4;2004
12/2/2004;12;4;2004
12/3/2004;12;4;2004
12/4/2004;12;4;2004
12/7/2004;12;4;2004
12/9/2004;12;4;2004
12/10/2004;12;4;2004
12/15/2004;12;4;2004
12/16/2004;12;4;2004
12/17/2004;12;4;2004
1/5/2005;1;1;2005
1/6/2005;1;1;2005
1/7/2005;1;1;2005
1/10/2005;1;1;2005
1/12/2005;1;1;2005
1/19/2005;1;1;2005
1/20/2005;1;1;2005
1/23/2005;1;1;2005
1/26/2005;1;1;2005
1/31/2005;1;1;2005
2/2/2005;2;1;2005
2/3/2005;2;1;2005
2/8/2005;2;1;2005
2/9/2005;2;1;2005
2/10/2005;2;1;2005
2/16/2005;2;1;2005
2/17/2005;2;1;2005
2/22/2005;2;1;2005
2/23/2005;2;1;2005
2/28/2005;2;1;2005
3/1/2005;3;1;2005
3/2/2005;3;1;2005
3/3/2005;3;1;2005
3/4/2005;3;1;2005
3/9/2005;3;1;2005
3/10/2005;3;1;2005
3/11/2005;3;1;2005
3/15/2005;3;1;2005
3/17/2005;3;1;2005
3/23/2005;3;1;2005
3/28/2005;3;1;2005
3/30/2005;3;1;2005
4/1/2005;4;2;2005
4/3/2005;4;2;2005
4/7/2005;4;2;2005
4/8/2005;4;2;2005
4/14/2005;4;2;2005
4/15/2005;4;2;2005
4/22/2005;4;2;2005
4/23/2005;4;2;2005
4/29/2005;4;2;2005
5/1/2005;5;2;2005
5/3/2005;5;2;2005
5/5/2005;5;2;2005
5/6/2005;5;2;2005
5/9/2005;5;2;2005
5/10/2005;5;2;2005
5/13/2005;5;2;2005
5/16/2005;5;2;2005
5/17/2005;5;2;2005
5/29/2005;5;2;2005
5/30/2005;5;2;2005
5/31/2005;5;2;2005
