PRODUCTLINE,CUSTOMERNUMBER,CREDITLIMIT
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Motorcycles,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Trains,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Vintage Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Trucks and Buses,146,123900.0000
Trucks and Buses,146,123900.0000
Trucks and Buses,146,123900.0000
Trucks and Buses,146,123900.0000
Vintage Cars,146,123900.0000
Trucks and Buses,146,123900.0000
Trucks and Buses,146,123900.0000
Trucks and Buses,146,123900.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Vintage Cars,146,123900.0000
Trains,146,123900.0000
Vintage Cars,146,123900.0000
Ships,146,123900.0000
Vintage Cars,146,123900.0000
Trains,146,123900.0000
Ships,146,123900.0000
Ships,146,123900.0000
Ships,146,123900.0000
Ships,146,123900.0000
Ships,146,123900.0000
Ships,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Classic Cars,146,123900.0000
Vintage Cars,146,123900.0000
Vintage Cars,146,123900.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Classic Cars,146,123900.0000
Vintage Cars,146,123900.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Classic Cars,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Motorcycles,167,9680000.0000
Planes,167,9680000.0000
Vintage Cars,167,9680000.0000
Vintage Cars,167,9680000.0000
Vintage Cars,167,9680000.0000
Vintage Cars,167,9680000.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Trains,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Ships,187,136800.0000
Vintage Cars,187,136800.0000
Trains,187,136800.0000
Trains,187,136800.0000
Ships,187,136800.0000
Ships,187,136800.0000
Ships,187,136800.0000
Ships,187,136800.0000
Ships,187,136800.0000
Ships,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Classic Cars,187,136800.0000
Vintage Cars,187,136800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Trucks and Buses,227,120800.0000
Classic Cars,227,120800.0000
Vintage Cars,227,120800.0000
Trains,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Classic Cars,227,120800.0000
Trains,227,120800.0000
Trucks and Buses,227,120800.0000
Trains,227,120800.0000
Ships,227,120800.0000
Classic Cars,249,113000.0000
Trucks and Buses,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Vintage Cars,249,113000.0000
Classic Cars,249,113000.0000
Classic Cars,249,113000.0000
Classic Cars,249,113000.0000
Vintage Cars,249,113000.0000
Trains,249,113000.0000
Vintage Cars,249,113000.0000
Ships,249,113000.0000
Ships,249,113000.0000
Ships,249,113000.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Motorcycles,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Motorcycles,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Classic Cars,259,120400.0000
Motorcycles,259,120400.0000
Planes,278,119600.0000
Planes,278,119600.0000
Ships,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Ships,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Classic Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Classic Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Vintage Cars,278,119600.0000
Vintage Cars,278,119600.0000
Planes,278,119600.0000
Ships,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Planes,278,119600.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,298,141300.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Trains,386,121400.0000
Trucks and Buses,386,121400.0000
Trains,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Classic Cars,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Motorcycles,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Motorcycles,386,121400.0000
Vintage Cars,386,121400.0000
Vintage Cars,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Planes,386,121400.0000
Classic Cars,448,116400.0000
Planes,448,116400.0000
Ships,448,116400.0000
Vintage Cars,448,116400.0000
Ships,448,116400.0000
Planes,448,116400.0000
Vintage Cars,448,116400.0000
Vintage Cars,448,116400.0000
Vintage Cars,448,116400.0000
Ships,448,116400.0000
Ships,448,116400.0000
Ships,448,116400.0000
Ships,448,116400.0000
Ships,448,116400.0000
Planes,448,116400.0000
Ships,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Trucks and Buses,448,116400.0000
Trucks and Buses,448,116400.0000
Trucks and Buses,448,116400.0000
Vintage Cars,448,116400.0000
Vintage Cars,448,116400.0000
Vintage Cars,448,116400.0000
Trucks and Buses,448,116400.0000
Vintage Cars,448,116400.0000
Trucks and Buses,448,116400.0000
Trucks and Buses,448,116400.0000
Trucks and Buses,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Classic Cars,448,116400.0000
Motorcycles,448,116400.0000
Motorcycles,448,116400.0000
Motorcycles,448,116400.0000
Classic Cars,458,104600.0000
Classic Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Trucks and Buses,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Trucks and Buses,458,104600.0000
Classic Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Vintage Cars,458,104600.0000
Classic Cars,458,104600.0000
Classic Cars,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Vintage Cars,458,104600.0000
Trucks and Buses,458,104600.0000
Trucks and Buses,458,104600.0000
Classic Cars,458,104600.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Vintage Cars,148,103800.0000
Trains,148,103800.0000
Classic Cars,148,103800.0000
Vintage Cars,148,103800.0000
Ships,148,103800.0000
Trains,148,103800.0000
Ships,148,103800.0000
Ships,148,103800.0000
Ships,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Trucks and Buses,148,103800.0000
Vintage Cars,148,103800.0000
Vintage Cars,148,103800.0000
Vintage Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Vintage Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Classic Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Trucks and Buses,148,103800.0000
Classic Cars,148,103800.0000
Trains,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Classic Cars,148,103800.0000
Classic Cars,148,103800.0000
Trucks and Buses,148,103800.0000
Trains,148,103800.0000
Trucks and Buses,148,103800.0000
Trains,148,103800.0000
Classic Cars,148,103800.0000
Motorcycles,148,103800.0000
Trucks and Buses,124,210500.0000
Trucks and Buses,124,210500.0000
Vintage Cars,124,210500.0000
Trucks and Buses,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Motorcycles,124,210500.0000
Classic Cars,124,210500.0000
Motorcycles,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Motorcycles,124,210500.0000
Motorcycles,124,210500.0000
Motorcycles,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Vintage Cars,124,210500.0000
Trains,124,210500.0000
Classic Cars,124,210500.0000
Vintage Cars,124,210500.0000
Ships,124,210500.0000
Vintage Cars,124,210500.0000
Trains,124,210500.0000
Trains,124,210500.0000
Ships,124,210500.0000
Ships,124,210500.0000
Ships,124,210500.0000
Ships,124,210500.0000
Ships,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
Classic Cars,124,210500.0000
Classic Cars,124,210500.0000
Vintage Cars,124,210500.0000
Vintage Cars,124,210500.0000
