CUSTOMERNUMBER,BUYPRICE,CREDITLIMIT,TERRITORY
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
129,30 - 100,< 100k     ,NA
129,< 30    ,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,< 30    ,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,< 30    ,< 100k     ,NA
129,30 - 100,< 100k     ,NA
129,30 - 100,< 100k     ,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,< 30    ,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,> 100   ,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,< 30    ,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,< 30    ,100k - 200k,NA
131,< 30    ,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,< 30    ,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
131,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,> 100   ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,> 100   ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
151,30 - 100,100k - 200k,NA
151,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,> 100   ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,30 - 100,100k - 200k,NA
157,< 30    ,100k - 200k,NA
161,30 - 100,< 100k     ,NA
161,> 100   ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,30 - 100,< 100k     ,NA
161,< 30    ,< 100k     ,NA
161,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,< 30    ,< 100k     ,NA
173,30 - 100,< 100k     ,NA
173,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,< 30    ,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,< 30    ,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,30 - 100,< 100k     ,NA
175,< 30    ,< 100k     ,NA
175,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,< 30    ,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,< 30    ,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,> 100   ,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,< 30    ,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,< 30    ,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
181,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
198,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,< 30    ,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,> 100   ,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,< 30    ,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,< 30    ,< 100k     ,NA
202,30 - 100,< 100k     ,NA
202,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,< 30    ,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
204,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,< 30    ,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,< 30    ,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,30 - 100,< 100k     ,NA
205,< 30    ,< 100k     ,NA
205,< 30    ,< 100k     ,NA
205,< 30    ,< 100k     ,NA
205,< 30    ,< 100k     ,NA
219,30 - 100,< 100k     ,NA
219,30 - 100,< 100k     ,NA
219,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,< 30    ,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,> 100   ,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,< 30    ,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
233,30 - 100,< 100k     ,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,< 30    ,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,< 30    ,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,30 - 100,100k - 200k,NA
239,< 30    ,100k - 200k,NA
239,30 - 100,100k - 200k,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,< 30    ,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,< 30    ,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
260,30 - 100,< 100k     ,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,< 30    ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,< 30    ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,> 100   ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,> 100   ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,< 30    ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,< 30    ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,30 - 100,100k - 200k,NA
286,< 30    ,100k - 200k,NA
286,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,> 100   ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,< 30    ,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
319,30 - 100,100k - 200k,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,< 30    ,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,< 30    ,< 100k     ,NA
320,< 30    ,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
320,30 - 100,< 100k     ,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,> 100   ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,< 30    ,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
321,30 - 100,100k - 200k,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,< 30    ,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,< 30    ,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,< 30    ,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
328,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,> 100   ,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,< 30    ,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,30 - 100,< 100k     ,NA
339,< 30    ,< 100k     ,NA
339,30 - 100,< 100k     ,NA
